date,remainder
1970-06-23,5.587844719787089
1970-06-24,5.3877608136167225
1970-06-25,3.2876769074463574
1970-06-26,2.9875930012759895
1970-06-27,5.887509095105628
1970-06-28,8.08742518893526
1970-06-29,-1.9126587172351073
1970-06-30,-0.21274262340547168
1970-07-01,-3.5633178822633482
1970-07-02,-5.463401788433716
1970-07-03,-4.26348569460408
1970-07-04,-4.063569600774446
1970-07-05,-2.5636535069448136
1970-07-06,0.5362625868848205
1970-07-07,4.336178680714454
1970-07-08,6.536094774544086
1970-07-09,3.9360108683737245
1970-07-10,-0.06407303779664275
1970-07-11,0.33584305603299214
1970-07-12,1.1357591498626256
1970-07-13,4.035675243692257
1970-07-14,-0.46440866247810675
1970-07-15,-5.664492568648473
1970-07-16,-3.6645764748188405
1970-07-17,-3.264660380989204
