recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin K µg,Vitamin A IU,Vitamin C mg,Folate µg,Manganese mg,Fiber g,Magnesium mg,Potassium mg,Copper mg,Iron mg,Vitamin B6 mg,Phosphorus mg,Vitamin B1 mg,Vitamin E mg,Zinc mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Calcium mg,Selenium µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
1096225,489.24,23.33,19.87,57.06,46.43,11.19,0.0,293.16,9.73,88.93,19235.76,45.3,100.84,1.18,10.63,117.35,1128.91,0.46,2.94,0.71,249.13,0.27,1.09,1.87,0.35,2.02,1.48,95.5,3.39,,,
650871,118.89,4.9,0.69,19.85,17.47,4.01,0.0,18.27,1.23,3.47,533.83,15.88,25.45,0.42,2.38,49.07,523.86,0.1,1.24,0.23,54.05,0.21,0.82,0.26,0.1,1.03,0.57,57.92,0.83,,,
648774,738.26,58.01,26.11,7.64,6.93,6.37,182.81,1129.36,44.14,9.69,858.26,0.88,53.98,0.29,0.71,71.06,832.75,0.26,4.29,0.39,507.73,0.3,0.97,8.61,0.72,14.97,2.06,212.9,46.98,5.83,0.36,
634579,464.56,19.69,6.59,41.25,35.14,7.55,78.24,266.93,30.4,12.22,373.41,21.31,108.88,1.24,6.11,138.94,1078.18,0.57,6.51,0.94,470.66,0.34,3.59,10.33,0.38,7.16,1.39,97.46,28.65,3.1,,1.59
651911,514.27,31.66,11.74,25.58,17.51,9.01,106.5,292.99,32.47,30.9,1151.28,43.26,72.48,1.28,8.08,85.29,984.53,0.37,7.22,0.82,377.47,0.33,1.9,7.82,0.39,8.81,0.96,116.57,26.34,3.21,,
650673,621.46,35.55,10.06,28.04,23.28,16.26,173.4,522.81,47.89,24.22,1991.34,152.35,71.63,0.62,4.76,96.45,1220.23,0.39,4.46,1.62,452.88,0.29,1.99,3.78,0.41,17.86,2.6,82.14,35.04,0.72,0.46,
633649,265.13,17.28,2.29,21.89,14.56,0.06,0.0,486.18,7.75,9.78,,,39.91,1.51,7.33,47.65,255.85,0.25,2.72,0.73,129.35,0.05,2.31,1.15,0.03,0.32,0.45,65.32,3.68,,,
637426,94.13,4.01,0.42,13.8,11.72,2.17,0.0,32.6,1.73,2.54,267.84,12.28,13.34,0.22,2.08,22.41,308.5,0.1,1.58,0.22,47.23,0.06,1.81,0.32,0.04,0.74,0.2,27.59,,,,
658058,253.93,11.48,5.42,28.45,22.72,8.71,0.0,1782.84,10.07,70.03,5042.72,61.29,77.35,0.48,5.74,56.16,765.09,0.16,2.26,0.54,106.25,0.16,0.92,0.73,0.18,1.69,0.63,156.03,1.44,,,
638496,272.16,12.12,5.09,36.5,28.6,9.68,0.0,25.74,9.23,10.84,16001.53,30.2,158.92,1.3,7.9,78.82,955.29,0.58,4.98,0.32,238.23,0.2,3.04,1.97,0.26,1.83,0.81,106.54,4.04,,,
663824,544.86,33.8,9.73,25.32,21.17,2.26,188.92,452.7,34.59,15.22,234.02,27.38,34.36,0.47,4.15,74.28,959.75,0.28,3.28,1.1,392.13,0.26,1.01,2.96,0.31,10.28,2.34,62.13,37.67,1.23,0.19,
637264,432.87,24.2,3.65,7.33,5.4,3.36,216.0,405.92,45.19,22.47,698.09,11.58,25.05,0.23,1.93,69.08,801.46,0.2,2.8,1.13,465.13,0.25,3.31,3.75,0.44,13.13,2.85,59.34,51.85,1.48,,
716202,78.7,1.45,0.27,12.53,10.25,1.54,0.78,271.5,4.19,1.43,82.21,,55.53,0.46,2.28,29.76,137.23,0.14,1.17,0.09,71.03,0.09,0.22,0.54,0.03,0.54,0.13,15.22,4.86,,,
773676,206.05,14.91,1.18,15.44,11.35,7.66,1.58,233.45,5.27,23.85,1211.89,73.81,165.78,0.33,4.09,33.93,580.8,0.33,1.64,0.37,124.8,0.17,3.38,0.89,0.33,15.16,1.14,42.27,7.55,,,
654373,285.51,22.5,13.37,4.4,2.7,1.39,65.76,439.34,17.65,306.75,6659.57,34.78,136.24,0.6,1.7,70.31,464.46,0.12,2.26,0.23,357.32,0.08,1.82,2.32,0.36,0.69,0.33,514.86,9.37,0.52,0.38,
663090,232.79,8.47,5.61,27.81,16.13,2.27,0.0,314.78,9.75,6.13,455.79,4.58,179.17,0.54,11.68,50.82,403.07,0.25,2.92,0.24,173.58,0.33,0.61,1.82,0.09,1.0,0.82,41.03,3.25,,,
654313,337.85,12.73,8.91,43.21,35.69,5.59,14.4,77.21,15.68,7.57,631.89,60.9,144.77,0.58,7.53,36.63,378.11,0.17,4.54,0.33,78.84,0.07,0.72,0.55,0.04,12.34,0.23,67.41,1.35,,,
664861,219.86,18.26,2.55,12.25,8.74,5.16,1.25,360.82,3.91,25.17,14238.58,9.32,24.28,0.3,3.51,21.94,375.54,0.08,1.37,0.2,78.61,0.08,3.76,0.49,0.13,1.02,0.34,75.42,3.36,0.19,,
642283,264.86,14.01,10.99,30.31,20.03,14.65,2.5,245.55,11.05,16.53,1052.57,24.48,87.18,1.44,10.28,98.91,1147.52,0.46,5.58,0.48,246.6,0.21,1.56,1.52,0.28,2.88,1.08,156.53,7.11,0.38,,
1096230,265.84,16.22,12.47,24.39,18.57,10.95,0.0,531.48,7.96,15.16,3896.54,62.13,48.32,0.48,5.82,47.19,690.26,0.36,3.6,0.43,142.33,0.2,2.97,0.72,0.15,2.77,0.71,91.77,1.58,,,
658967,159.0,3.76,0.84,4.59,2.61,1.22,75.0,303.18,25.46,5.15,56.18,5.28,5.42,0.61,1.98,36.44,479.27,0.07,0.76,0.89,253.78,0.08,0.29,0.74,0.13,12.22,1.72,26.76,37.74,0.25,0.16,
650378,682.94,52.89,9.54,16.53,13.62,9.81,87.02,1018.86,34.64,117.13,5999.36,15.79,47.86,0.37,2.91,53.6,654.12,0.24,3.46,0.45,270.11,0.1,3.06,3.72,0.24,3.85,0.48,71.19,25.43,1.34,0.24,
