recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Phosphorus mg,Selenium µg,Vitamin B2 mg,Vitamin B6 mg,Fiber g,Potassium mg,Magnesium mg,Manganese mg,Calcium mg,Vitamin B5 mg,Zinc mg,Iron mg,Folate µg,Copper mg,Vitamin B12 µg,Vitamin A IU,Vitamin D µg,Vitamin B1 mg,Vitamin B3 mg,Vitamin C mg,Vitamin E mg,Vitamin K µg,Alcohol g,Caffeine mg
1095779,364.65,20.11,7.21,26.54,22.43,7.36,219.11,1136.19,20.22,248.27,17.14,0.37,0.45,4.11,525.53,42.33,0.41,204.5,1.64,1.61,2.31,59.99,0.2,0.55,14596.97,0.99,0.13,1.0,58.62,1.73,39.09,,
664054,550.82,39.29,12.19,16.28,13.33,4.17,552.27,866.94,32.13,465.25,49.17,0.94,0.69,2.96,932.97,86.15,0.42,137.97,3.59,4.27,4.78,91.01,0.49,1.93,11847.56,3.78,0.39,5.81,18.61,3.24,427.4,,
636087,485.68,18.6,10.25,65.93,64.39,23.01,179.15,488.64,13.37,419.71,33.69,0.61,0.12,1.54,539.35,26.96,0.4,266.43,1.17,1.24,3.48,122.7,0.13,0.77,705.28,2.15,0.49,3.35,,0.82,1.54,0.34,
633205,298.01,15.03,4.82,15.94,13.58,5.8,115.5,683.94,26.56,324.4,31.33,0.39,0.96,2.36,714.55,52.14,0.19,31.38,1.8,2.42,1.67,46.54,0.27,0.71,628.92,0.79,0.23,11.05,25.9,0.81,9.84,,
640194,443.04,31.79,4.26,18.83,12.53,4.85,0.0,1765.18,24.58,107.48,6.92,0.32,0.26,6.3,481.47,31.76,0.74,355.83,1.03,0.89,6.18,56.89,0.37,,754.96,,0.17,2.72,9.36,4.29,54.83,,
633202,332.14,17.48,7.01,41.83,39.09,26.6,32.61,217.9,4.87,122.92,8.25,0.14,0.15,2.74,232.37,32.99,0.76,49.51,0.34,0.75,1.45,47.18,0.29,0.08,209.51,0.2,0.17,1.18,3.01,0.41,3.34,0.23,
634006,578.93,31.89,19.78,70.81,68.43,40.7,108.62,852.13,5.11,70.37,14.02,0.25,0.24,2.38,265.59,24.53,0.38,21.47,0.49,0.44,1.76,73.57,0.1,0.13,1022.82,0.71,0.27,2.26,5.13,1.03,3.06,0.23,
641978,111.81,8.99,1.81,5.78,4.2,1.88,0.09,61.05,3.96,76.09,0.88,0.05,0.1,1.57,121.66,35.67,0.35,10.49,0.2,0.66,0.95,16.51,0.15,0.09,,,0.04,2.01,,0.99,,,
1095835,204.11,1.39,0.53,42.07,40.25,9.11,12.75,169.07,5.56,74.8,15.9,0.27,0.04,1.83,121.28,16.11,0.36,40.01,0.39,0.57,2.21,89.59,0.09,0.11,,0.3,0.37,2.68,,,1.15,,
1499853,148.5,5.71,1.63,25.0,25.0,23.68,0.0,60.89,0.03,,,,,,,,,,,,,,,,,,,,,,,,
650498,40.23,1.58,0.92,5.26,5.1,5.15,5.35,21.98,1.53,44.62,1.41,0.08,0.03,,83.4,6.16,,53.55,0.15,0.18,,,0.03,0.12,60.34,0.28,0.02,,9.16,,,,
1095931,407.86,17.3,2.77,43.02,36.94,26.45,11.35,227.77,24.34,139.24,1.38,0.27,0.25,6.08,436.66,88.27,0.69,416.15,0.31,0.92,1.78,25.85,0.32,,352.1,,0.03,1.24,5.16,5.87,,,
636392,376.68,14.05,8.7,54.61,48.32,13.23,163.68,369.25,13.16,290.2,17.06,0.32,0.43,6.29,416.42,158.24,1.33,60.59,0.95,2.5,3.31,53.39,0.38,0.39,239.08,0.88,0.27,3.75,,0.67,4.53,,
1096269,98.03,4.71,4.08,15.06,12.5,11.62,0.0,4.25,0.97,24.31,1.44,0.02,0.04,2.55,137.6,16.12,0.27,25.12,0.12,0.23,0.55,,0.1,,,,0.02,,,,2.23,,
1095797,332.6,17.17,10.25,36.32,34.98,4.34,95.27,290.23,6.34,78.97,18.86,0.28,0.05,1.34,73.76,12.48,0.29,24.25,0.43,0.51,2.21,83.97,0.09,0.16,553.34,0.58,0.34,2.49,2.58,0.62,1.49,1.08,
639120,194.36,3.71,1.34,37.64,32.79,14.41,3.05,118.26,6.01,189.61,10.75,0.11,0.05,4.85,232.4,72.83,1.31,60.43,0.47,1.6,2.05,12.97,0.35,0.14,,0.4,0.16,0.49,,0.15,,,12.36
650650,307.0,21.34,10.57,14.98,14.24,0.48,124.25,475.38,13.61,227.99,13.2,0.3,0.09,0.74,129.14,18.24,0.13,258.61,0.62,1.44,1.4,37.57,0.05,0.53,506.29,0.67,0.1,0.81,0.84,0.54,9.27,,
1646939,271.89,12.79,7.52,35.92,32.56,13.86,57.16,215.67,5.39,55.47,2.49,0.06,0.02,3.36,88.7,4.95,0.07,110.2,0.18,0.16,1.03,8.25,,0.12,423.76,0.43,,,10.63,0.45,1.42,,
