recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin D µg,Vitamin B12 µg,Alcohol g,Caffeine mg
655400,452.05,25.74,4.28,46.15,42.15,9.39,8.67,567.84,12.17,1.57,5.83,67.63,215.63,0.37,101.47,896.77,4.0,0.14,4.0,0.53,1.83,3.42,0.37,272.52,160.78,20.6,0.36,3.96,84.17,,0.09,,
656544,458.59,24.96,14.51,43.62,34.27,6.36,150.65,658.14,20.06,0.87,70.22,126.86,337.83,0.41,204.73,3060.24,9.35,0.65,2.39,0.28,2.78,1.12,0.29,717.83,290.68,18.12,1.1,2.19,158.14,0.85,0.77,,
644830,515.58,13.73,2.04,87.69,80.09,1.48,0.0,559.95,10.29,3.12,3.63,111.56,322.33,0.34,55.09,195.02,7.59,0.48,2.55,0.61,2.36,1.95,0.13,350.11,51.79,16.56,1.08,4.03,9.65,,,,
649850,789.56,54.21,33.72,76.69,47.67,3.71,156.95,485.48,22.48,14.55,1.84,212.61,426.27,1.54,25.61,2389.62,29.03,0.39,11.37,0.15,2.24,2.39,0.47,1626.71,835.12,12.04,1.95,1.39,190.84,1.55,0.45,,
637811,580.32,21.49,3.44,83.59,81.29,5.17,7.5,409.53,11.61,0.88,23.41,42.86,156.76,0.49,192.2,,2.3,0.49,3.86,0.53,1.35,2.61,0.26,602.75,29.62,15.3,1.09,7.12,14.28,,,,
1096168,331.43,5.2,0.94,59.89,56.46,2.67,40.92,242.55,8.84,0.62,1.83,30.51,119.6,0.43,125.9,8103.42,3.43,0.19,3.51,0.54,0.78,0.81,0.4,284.89,36.62,25.13,0.91,4.03,3.4,0.22,0.1,0.77,
640064,521.94,19.15,10.48,66.99,62.76,10.33,126.29,1240.14,21.68,0.81,108.67,52.19,259.76,0.32,179.58,12497.3,4.23,0.47,4.84,0.65,1.65,2.73,0.7,837.4,410.62,30.5,1.5,5.43,8.81,1.11,0.53,,
656329,308.7,22.4,10.18,13.37,12.22,5.84,132.24,558.54,15.53,0.29,19.5,36.34,324.39,0.24,53.09,13546.59,1.15,0.31,2.42,0.15,2.59,3.06,0.61,621.21,361.95,17.26,1.15,1.34,72.64,0.68,1.39,,
644205,349.42,17.4,2.9,41.17,36.13,8.73,81.92,252.67,10.28,0.71,55.73,60.95,198.73,0.23,148.98,3335.27,5.04,0.52,3.08,0.43,1.34,3.26,0.51,854.08,65.07,18.43,1.12,3.94,53.54,0.44,0.2,,
1095746,368.49,14.77,1.58,51.68,46.1,4.38,0.0,904.28,9.16,1.53,15.1,56.32,159.71,0.41,248.42,546.24,5.58,0.21,3.6,0.46,1.73,0.98,0.11,330.88,49.21,8.32,0.98,2.63,44.17,,,,
648118,180.85,14.66,2.05,13.04,6.31,7.17,0.0,328.98,2.32,0.51,7.27,31.96,55.93,0.19,47.28,807.19,6.73,0.22,1.02,0.09,0.43,3.39,0.1,507.73,28.9,1.11,0.59,1.55,50.3,,,,
641962,349.0,25.13,3.8,19.45,12.49,10.22,11.2,514.38,17.23,0.6,13.04,43.34,76.26,0.27,54.4,724.29,6.96,0.28,1.53,0.1,0.56,3.3,0.13,702.94,157.62,1.28,0.79,2.04,39.68,,,,
663771,356.12,15.85,2.24,44.88,39.27,9.91,0.0,562.29,10.08,1.21,27.56,56.99,150.48,0.25,99.12,1834.44,5.62,0.26,3.54,0.39,1.18,2.91,0.23,585.49,128.23,21.88,0.82,5.38,50.28,,,,
645020,328.49,14.61,2.04,43.81,40.11,1.66,0.0,997.4,6.13,0.39,23.71,38.41,108.78,0.2,31.33,,3.7,0.37,1.57,0.21,0.7,2.03,0.08,552.87,53.15,,0.52,2.07,10.65,,,,
654573,368.2,20.01,2.82,39.69,34.91,8.24,0.0,451.77,8.72,1.07,16.44,49.36,129.92,0.22,85.87,946.26,4.78,0.22,3.07,0.34,1.02,3.03,0.21,427.09,116.5,19.49,0.8,4.32,41.64,,,,
639794,496.47,25.3,22.21,64.11,60.76,9.1,0.0,18.64,6.54,2.01,1.31,69.54,172.71,0.41,161.09,,3.36,0.15,6.71,0.38,1.4,,0.03,328.4,56.23,9.88,1.01,3.35,,,,,
